유형,동사원형,과거형,과거분사형,한글 뜻(핵심어 중심),레벨
A-A-A,bet,bet,bet,내기하다,Easy
A-A-A,broadcast,broadcast,broadcast,방송하다,Average
A-A-A,burst,burst,burst,터지다,Easy
A-A-A,cast,cast,cast,던지다/캐스팅하다,Easy
A-A-A,cost,cost,cost,비용이 들다,Easy
A-A-A,cut,cut,cut,자르다,Easy
A-A-A,forecast,forecast,forecast,예측하다,Average
A-A-A,hit,hit,hit,치다,Easy
A-A-A,hurt,hurt,hurt,다치게 하다,Easy
A-A-A,let,let,let,~하게 하다,Easy
A-A-A,put,put,put,두다,Easy
A-A-A,quit,quit,quit,그만두다,Easy
A-A-A,read,read,read,읽다,Easy
A-A-A,set,set,set,놓다/설정하다,Easy
A-A-A,shut,shut,shut,닫다,Easy
A-A-A,split,split,split,나누다/쪼개다,Easy
A-A-A,spread,spread,spread,퍼지다,Easy
A-A-A,upset,upset,upset,속상하게 하다,Easy
A-A-B,beat,beat,beaten,이기다/때리다,Easy
A-B-A,become,became,become,~이 되다,Easy
A-B-A,come,came,come,오다,Easy
A-B-A,overcome,overcame,overcome,극복하다,Difficult
A-B-A,run,ran,run,달리다,Easy
A-B-B,bend,bent,bent,구부리다,Easy
A-B-B,bind,bound,bound,묶다,Easy
A-B-B,breed,bred,bred,번식하다/키우다,Average
A-B-B,bring,brought,brought,가져오다,Easy
A-B-B,build,built,built,짓다,Easy
A-B-B,burn,burned/burnt,burned/burnt,타다/태우다,Easy
A-B-B,buy,bought,bought,사다,Easy
A-B-B,catch,caught,caught,잡다,Easy
A-B-B,cling,clung,clung,매달리다/집착하다,Average
A-B-B,creep,crept,crept,기어가다,Average
A-B-B,deal,dealt,dealt,다루다,Average
A-B-B,dig,dug,dug,파다,Easy
A-B-B,dream,dreamed/dreamt,dreamed/dreamt,꿈꾸다,Easy
A-B-B,dwell,dwelt/dwelled,dwelt/dwelled,거주하다/곱씹다,Average
A-B-B,feed,fed,fed,먹이를 주다,Average
A-B-B,feel,felt,felt,느끼다,Easy
A-B-B,fight,fought,fought,싸우다,Easy
A-B-B,find,found,found,찾다,Easy
A-B-B,flee,fled,fled,도망치다,Average
A-B-B,get,got,got/gotten,얻다/되다,Easy
A-B-B,hang,hung,hung,걸다,Easy
A-B-B,have,had,had,가지다,Easy
A-B-B,hear,heard,heard,듣다,Easy
A-B-B,hold,held,held,잡다,Easy
A-B-B,keep,kept,kept,유지하다,Easy
A-B-B,lay,laid,laid,놓다,Easy
A-B-B,lead,led,led,이끌다,Easy
A-B-B,lean,leaned/leant,leaned/leant,기대다/기울다,Average
A-B-B,leap,leaped/leapt,leaped/leapt,뛰어오르다,Average
A-B-B,learn,learned/learnt,learned/learnt,배우다,Easy
A-B-B,leave,left,left,떠나다,Easy
A-B-B,lend,lent,lent,빌려주다,Easy
A-B-B,light,lit/lighted,lit/lighted,불을 켜다/가볍다,Average
A-B-B,lose,lost,lost,잃다,Easy
A-B-B,make,made,made,만들다,Easy
A-B-B,mean,meant,meant,의미하다,Easy
A-B-B,meet,met,met,만나다,Easy
A-B-B,pay,paid,paid,지불하다,Easy
A-B-B,say,said,said,말하다,Easy
A-B-B,seek,sought,sought,찾다/추구하다,Average
A-B-B,sell,sold,sold,팔다,Easy
A-B-B,send,sent,sent,보내다,Easy
A-B-B,shine,shone/shined,shone/shined,빛나다,Easy
A-B-B,shoot,shot,shot,쏘다,Easy
A-B-B,sit,sat,sat,앉다,Easy
A-B-B,sleep,slept,slept,자다,Easy
A-B-B,slide,slid,slid,미끄러지다,Average
A-B-B,smell,smelled/smelt,smelled/smelt,냄새나다,Average
A-B-B,spell,spelled/spelt,spelled/spelt,철자를 쓰다,Average
A-B-B,spend,spent,spent,쓰다,Easy
A-B-B,spill,spilled/spilt,spilled/spilt,쏟다/흘리다,Average
A-B-B,spin,spun,spun,돌리다/회전하다,Average
A-B-B,spit,spat/spit,spat/spit,뱉다,Average
A-B-B,spoil,spoiled/spoilt,spoiled/spoilt,망치다/상하다,Average
A-B-B,stand,stood,stood,서다,Easy
A-B-B,stick,stuck,stuck,붙이다/찌르다,Easy
A-B-B,strike,struck,struck/stricken,치다/파업하다,Easy
A-B-B,sweep,swept,swept,쓸다,Difficult
A-B-B,swing,swung,swung,흔들다,Average
A-B-B,teach,taught,taught,가르치다,Easy
A-B-B,tell,told,told,말하다,Easy
A-B-B,think,thought,thought,생각하다,Easy
A-B-B,understand,understood,understood,이해하다,Easy
A-B-B,win,won,won,이기다,Easy
A-B-B,wind,wound,wound,감다/구불구불하다,Average
A-B-C,arise,arose,arisen,발생하다,Average
A-B-C,awake,awoke,awoken,깨다,Average
A-B-C,bear,bore,borne/born,견디다/낳다,Average
A-B-C,begin,began,begun,시작하다,Easy
A-B-C,bite,bit,bitten,물다,Easy
A-B-C,blow,blew,blown,불다,Easy
A-B-C,break,broke,broken,깨다,Easy
A-B-C,choose,chose,chosen,선택하다,Easy
A-B-C,do,did,done,하다,Easy
A-B-C,draw,drew,drawn,그리다,Easy
A-B-C,drink,drank,drunk,마시다,Easy
A-B-C,drive,drove,driven,운전하다,Easy
A-B-C,eat,ate,eaten,먹다,Easy
A-B-C,fall,fell,fallen,떨어지다,Easy
A-B-C,fly,flew,flown,날다,Easy
A-B-C,forbid,forbade,forbidden,금지하다,Average
A-B-C,forget,forgot,forgotten,잊다,Easy
A-B-C,forgive,forgave,forgiven,용서하다,Easy
A-B-C,freeze,froze,frozen,얼다,Easy
A-B-C,give,gave,given,주다,Easy
A-B-C,go,went,gone,가다,Easy
A-B-C,grow,grew,grown,자라다,Easy
A-B-C,hide,hid,hidden,숨기다,Easy
A-B-C,know,knew,known,알다,Easy
A-B-C,lie,lay,lain,눕다/거짓말하다,Average
A-B-C,ride,rode,ridden,타다,Easy
A-B-C,ring,rang,rung,울리다,Easy
A-B-C,rise,rose,risen,오르다,Easy
A-B-C,see,saw,seen,보다,Easy
A-B-C,sew,sewed,sewn/sewed,바느질하다,Average
A-B-C,shake,shook,shaken,흔들다,Easy
A-B-C,show,showed,shown/showed,보여주다,Easy
A-B-C,sing,sang,sung,노래하다,Easy
A-B-C,sink,sank,sunk,가라앉다,Easy
A-B-C,speak,spoke,spoken,말하다,Easy
A-B-C,spring,sprang,sprung,튀어오르다,Average
A-B-C,steal,stole,stolen,훔치다,Easy
A-B-C,swear,swore,sworn,맹세하다,Difficult
A-B-C,swell,swelled,swollen/swelled,붓다/부풀다,Difficult
A-B-C,swim,swam,swum,수영하다,Easy
A-B-C,take,took,taken,가져가다,Easy
A-B-C,tear,tore,torn,찢다,Average
