규칙번호,동사원형,정답,오답1,오답2,예문
1,walk,walked,walkd,walkt,We walked along the beach after lunch.
1,watch,watched,watcht,watchd,My brother watched a science program last night.
1,help,helped,helpped,helpd,The students helped an elderly woman cross the street.
1,visit,visited,visitted,visitd,We visited a museum during the school trip.
1,clean,cleaned,cleened,cleand,Mina cleaned her desk before class.
1,play,played,plaied,playd,The boys played basketball after school.
1,cook,cooked,cookt,cookked,My father cooked dinner for the family.
2,like,liked,likeed,likt,Many students liked the new school event.
2,live,lived,liveed,livved,My grandparents lived in a small village.
2,hope,hoped,hopeed,hopd,I hoped for sunny weather on sports day.
2,dance,danced,danceed,dancedd,The children danced happily on the stage.
2,use,used,useed,ussed,She used her phone to take pictures.
2,love,loved,loveed,lovved,The baby loved the colorful toy.
3a,study,studied,studyed,studyd,Jisu studied English for two hours.
3a,carry,carried,carryed,carryd,He carried a heavy box upstairs.
3a,try,tried,tryed,tryd,I tried a new recipe for dinner.
3a,cry,cried,cryed,cryd,The baby cried loudly at night.
3a,worry,worried,worryed,worryd,She worried about the math test.
3a,reply,replied,replyed,replyd,Tom replied to my message quickly.
3b,play,played,plaied,playyed,The team played very well yesterday.
3b,enjoy,enjoyed,enjoied,enjoyd,They enjoyed the school festival.
3b,stay,stayed,staied,stayd,We stayed at a hotel near the lake.
3b,obey,obeyed,obeied,obeyd,The students obeyed the classroom rules.
3b,delay,delayed,delaied,delayd,Heavy rain delayed the baseball game.
4,stop,stopped,stoped,stoppped,The bus stopped in front of the station.
4,plan,planned,planed,plannned,Our class planned a recycling campaign.
4,drop,dropped,droped,droppped,I dropped my pencil during the test.
4,shop,shopped,shoped,shoppped,My parents shopped for groceries yesterday.
4,chat,chatted,chated,chattted,The friends chatted online after school.
4,hug,hugged,huged,huggged,The little girl hugged her puppy.
